Location_ID,Latitude,Longitude,Traffic_Density,Pedestrian_Count,Vehicle_Count,Public_Transport,Average_Speed,Commercial_Score,Residential_Score,Green_Space,Morning_Activity,Afternoon_Activity,Evening_Activity,Night_Activity,True_Zone,Cluster
322,17.556684,78.539672,88,123,864,20,27,34,25,17,52,88,74,61,Industrial,4
323,17.534848,78.44781,89,97,790,15,30,33,27,5,71,75,71,64,Industrial,4
324,17.482959,78.355692,62,129,696,14,34,38,13,17,68,58,82,11,Industrial,4
325,17.459804,78.521766,30,510,136,12,25,33,31,84,44,60,51,59,Recreational,1
326,17.457703,78.589699,20,313,81,15,32,37,40,100,83,44,62,50,Recreational,1
327,17.467104,78.534947,41,182,164,16,33,10,94,47,51,61,61,59,Residential,3
328,17.414374,78.395398,39,277,211,10,52,20,94,51,79,59,69,47,Residential,3
329,17.220796,78.212698,52,542,429,21,23,61,65,40,47,83,79,52,Mixed,2
330,17.590475,78.473382,49,227,183,29,52,25,93,69,82,46,55,54,Residential,3
331,17.441216,78.447597,80,136,587,24,33,22,28,8,76,81,56,56,Industrial,4
332,17.515764,78.366487,69,525,430,31,36,56,49,59,68,58,85,20,Mixed,2
333,17.503717,78.587105,21,119,149,15,53,19,99,54,76,59,42,46,Residential,3
334,17.268046,78.559295,22,409,185,17,24,26,46,83,52,71,75,46,Recreational,1
335,17.32145,78.324676,25,226,187,11,52,20,93,69,44,77,49,49,Residential,3
336,17.429715,78.466885,30,444,114,11,24,29,50,81,48,61,52,34,Recreational,1
337,17.278067,78.395757,84,705,670,44,26,92,26,20,48,79,59,35,Commercial,0
338,17.504979,78.250401,100,931,437,48,26,82,25,6,55,78,43,68,Commercial,0
339,17.311766,78.252661,52,478,276,33,41,43,67,36,47,64,52,41,Mixed,2
340,17.519093,78.346956,35,521,180,17,16,35,35,87,47,45,53,41,Recreational,1
341,17.50067,78.449391,71,98,814,24,29,39,18,19,60,59,78,31,Industrial,4
342,17.31758,78.294834,37,276,119,29,42,26,83,40,40,54,52,26,Residential,3
343,17.480995,78.446101,72,72,673,17,32,34,22,11,76,88,67,34,Industrial,4
344,17.505157,78.218181,50,244,129,16,42,27,93,69,57,52,82,30,Residential,3
345,17.375271,78.535672,77,715,542,38,39,89,21,19,62,69,72,66,Commercial,0
346,17.443328,78.31242,81,826,730,31,35,88,24,16,72,84,53,66,Commercial,0
347,17.422582,78.542597,15,406,91,18,33,30,36,90,70,56,72,41,Recreational,1
348,17.584597,78.467147,25,264,153,17,38,26,82,58,50,63,88,30,Residential,3
349,17.565172,78.335908,66,77,772,15,43,25,11,10,76,43,61,35,Industrial,4
350,17.335989,78.231576,59,307,487,36,28,43,62,57,85,58,97,69,Mixed,2
351,17.224723,78.236944,87,50,709,17,25,31,17,12,55,89,43,47,Industrial,4
352,17.270877,78.317707,28,536,74,19,16,22,39,88,65,59,79,19,Recreational,1
353,17.542453,78.342707,85,76,612,24,27,31,18,9,83,65,86,43,Industrial,4
354,17.246769,78.472861,18,386,161,5,16,22,50,99,88,61,60,42,Recreational,1
355,17.432567,78.242341,45,209,145,14,35,26,90,55,83,86,62,13,Residential,3
356,17.520392,78.241782,81,72,691,12,32,37,19,13,88,47,94,20,Industrial,4
357,17.212977,78.463487,60,286,255,32,25,68,44,38,87,41,40,49,Mixed,2
358,17.476805,78.383172,26,389,172,12,23,26,50,94,73,70,91,34,Recreational,1
359,17.340328,78.345024,54,498,390,29,41,49,60,44,56,61,77,44,Mixed,2
360,17.273069,78.25584,86,689,540,46,25,96,25,18,84,45,74,55,Commercial,0
361,17.213064,78.390238,66,518,440,22,25,44,61,55,88,62,64,43,Mixed,2
362,17.246543,78.445118,20,497,108,6,32,23,46,93,53,52,46,53,Recreational,1
363,17.327861,78.375271,74,84,836,12,43,39,13,7,71,87,83,49,Industrial,4
364,17.422531,78.211662,77,114,854,13,37,25,23,9,87,54,86,13,Industrial,4
365,17.288178,78.554473,27,583,145,17,16,22,37,94,82,70,48,48,Recreational,1
366,17.371383,78.492599,33,402,174,13,30,22,39,85,57,89,44,62,Recreational,1
367,17.373508,78.299801,89,94,650,14,30,33,21,8,68,62,45,41,Industrial,4
368,17.491348,78.338322,28,105,211,12,39,20,90,56,71,43,43,26,Residential,3
369,17.475218,78.248155,81,114,649,16,35,32,19,7,48,51,62,23,Industrial,4
370,17.252201,78.426168,78,878,601,48,34,84,24,8,62,69,64,37,Commercial,0
371,17.293998,78.53206,79,805,713,59,28,93,12,8,87,73,49,44,Commercial,0
372,17.357158,78.211461,46,458,263,21,31,64,49,47,50,55,88,60,Mixed,2
373,17.202503,78.224754,35,105,207,20,44,24,95,49,51,52,43,48,Residential,3
374,17.288713,78.327022,86,128,571,16,39,33,17,16,51,52,82,26,Industrial,4
375,17.332799,78.465119,35,307,118,14,30,23,44,91,76,69,62,25,Recreational,1
376,17.504064,78.26156,19,584,192,8,29,33,49,98,52,81,60,46,Recreational,1
377,17.52114,78.298608,20,463,179,10,30,37,34,83,69,84,58,32,Recreational,1
378,17.468954,78.530426,43,271,379,39,34,43,48,36,58,77,45,61,Mixed,2
379,17.212009,78.377811,73,649,737,34,39,90,14,10,43,68,83,43,Commercial,0
380,17.466146,78.400284,33,458,177,7,33,40,31,99,49,41,41,69,Recreational,1
381,17.301434,78.38838,70,356,287,20,30,62,60,33,46,65,86,59,Mixed,2
382,17.250382,78.591661,87,145,820,24,34,26,11,14,63,43,83,28,Industrial,4
383,17.371625,78.310369,70,116,511,12,34,36,11,5,55,41,99,63,Industrial,4
384,17.252389,78.442399,98,865,697,37,20,92,18,10,81,86,76,63,Commercial,0
385,17.232639,78.303437,32,582,90,6,16,31,37,88,51,65,48,19,Recreational,1
386,17.436807,78.26636,21,359,115,5,33,23,31,93,41,68,54,21,Recreational,1
387,17.490736,78.513908,49,359,345,33,21,65,51,51,45,75,84,45,Mixed,2
388,17.502534,78.232667,43,466,295,20,32,43,59,47,77,42,62,41,Mixed,2
389,17.466022,78.422631,43,398,303,38,33,46,70,43,45,51,55,26,Mixed,2
390,17.319513,78.55648,31,468,103,19,26,21,34,92,66,62,79,68,Recreational,1
391,17.405785,78.234023,70,522,282,33,41,69,62,37,52,59,74,14,Mixed,2
392,17.594934,78.377641,100,877,724,57,27,80,29,16,62,71,50,48,Commercial,0
393,17.469003,78.472877,61,467,215,22,39,53,42,30,86,40,56,11,Mixed,2
394,17.521638,78.370375,55,410,330,22,24,66,51,41,59,84,59,18,Mixed,2
395,17.290413,78.42042,65,140,672,20,37,32,29,19,84,61,82,28,Industrial,4
396,17.434235,78.417738,35,214,125,20,42,18,99,63,58,87,78,60,Residential,3
397,17.46118,78.261568,85,91,510,15,26,30,28,20,45,85,91,47,Industrial,4
398,17.508179,78.334921,67,121,551,15,39,26,20,11,43,64,51,35,Industrial,4
399,17.470442,78.322896,80,86,545,14,40,32,29,10,43,50,71,58,Industrial,4
400,17.463241,78.5991,23,514,72,6,25,34,48,80,75,53,53,44,Recreational,1
401,17.492197,78.254142,27,378,159,12,33,25,39,94,77,62,64,51,Recreational,1
402,17.356697,78.265064,78,929,537,54,26,95,27,10,66,72,40,53,Commercial,0
403,17.318187,78.411988,73,817,659,30,26,97,18,17,74,47,63,28,Commercial,0
404,17.409465,78.327649,86,81,833,18,42,35,12,19,70,43,76,26,Industrial,4
405,17.310828,78.576352,73,629,557,51,30,81,21,16,69,75,57,35,Commercial,0
406,17.406513,78.432258,100,945,486,55,32,85,15,16,47,63,61,28,Commercial,0
407,17.234453,78.525755,69,498,232,29,24,51,61,59,66,78,48,63,Mixed,2
408,17.560961,78.353286,80,789,516,44,21,99,16,9,83,57,42,16,Commercial,0
409,17.530373,78.452584,65,344,210,23,37,43,56,31,68,63,61,11,Mixed,2
410,17.391334,78.208408,92,784,484,52,35,93,16,16,71,67,90,64,Commercial,0
411,17.496917,78.297665,62,446,241,29,26,65,54,36,68,86,42,28,Mixed,2
412,17.202934,78.210324,65,61,610,15,37,38,12,12,47,59,86,13,Industrial,4
413,17.218234,78.578388,42,258,214,26,25,41,48,51,63,88,76,53,Mixed,2
414,17.595802,78.473726,94,905,411,54,36,93,25,18,80,75,96,32,Commercial,0
415,17.365471,78.461189,84,67,689,22,35,33,27,15,67,66,71,56,Industrial,4
416,17.245901,78.396163,15,367,95,13,16,35,32,87,45,55,63,57,Recreational,1
417,17.229094,78.31224,64,397,317,37,34,57,41,39,84,89,86,21,Mixed,2
418,17.452287,78.495873,92,802,546,32,26,100,23,18,84,83,63,50,Commercial,0
419,17.255995,78.366327,77,125,719,21,25,38,29,17,88,76,65,44,Industrial,4
420,17.428716,78.373621,69,399,215,35,22,67,52,43,47,83,94,64,Mixed,2
421,17.339942,78.297521,64,314,333,38,42,50,50,52,71,69,52,52,Mixed,2
422,17.217326,78.479736,64,352,500,31,37,63,58,44,79,81,46,59,Mixed,2
423,17.564784,78.224371,68,106,786,14,32,35,22,17,88,62,59,46,Industrial,4
424,17.24187,78.251439,23,324,107,6,23,25,40,85,45,84,50,23,Recreational,1
425,17.278518,78.209026,42,474,351,38,37,56,59,58,63,84,74,10,Mixed,2
426,17.307519,78.279458,25,525,196,11,33,35,48,88,40,81,58,42,Recreational,1
427,17.268732,78.407231,21,188,224,22,35,30,85,48,87,82,78,40,Residential,3
428,17.306399,78.333112,32,387,174,13,29,23,37,88,84,48,65,13,Recreational,1
429,17.59878,78.488063,89,668,646,34,39,94,27,19,41,68,52,13,Commercial,0
430,17.400023,78.469957,77,666,590,43,28,100,20,7,76,81,52,45,Commercial,0
431,17.349579,78.554515,47,172,151,16,31,16,87,46,60,62,68,23,Residential,3
432,17.490445,78.346785,100,875,635,52,36,92,11,13,52,78,67,51,Commercial,0
433,17.348093,78.500512,77,124,873,13,29,38,28,18,86,55,63,50,Industrial,4
434,17.524956,78.232962,82,63,857,13,31,38,26,13,55,86,93,49,Industrial,4
435,17.476129,78.57801,33,341,66,19,27,32,36,89,73,75,64,15,Recreational,1
436,17.378164,78.233702,69,423,351,30,38,69,41,57,42,50,77,23,Mixed,2
437,17.300926,78.549217,67,100,775,15,31,28,22,5,68,47,95,63,Industrial,4
438,17.470658,78.454419,47,256,482,20,35,45,46,41,62,80,98,20,Mixed,2
439,17.242161,78.535542,19,486,176,5,17,35,34,95,71,42,91,56,Recreational,1
440,17.584567,78.471665,68,344,472,39,42,57,57,51,53,89,54,24,Mixed,2
441,17.59819,78.564606,22,378,180,18,29,32,38,81,63,79,71,41,Recreational,1
442,17.402208,78.403103,40,283,278,31,33,64,68,31,57,46,68,64,Mixed,2
443,17.541297,78.469419,81,51,708,14,38,39,30,17,61,74,76,25,Industrial,4
444,17.568277,78.338007,76,129,629,13,31,21,15,5,78,64,44,14,Industrial,4
445,17.267126,78.248145,74,800,596,39,21,88,20,8,61,61,61,43,Commercial,0
446,17.448532,78.487487,87,926,782,30,20,83,13,17,57,66,82,68,Commercial,0
447,17.520961,78.336498,92,827,587,35,35,81,27,14,63,88,52,65,Commercial,0
448,17.595536,78.393293,50,544,388,29,36,54,57,52,69,73,97,13,Mixed,2
449,17.413864,78.543505,26,139,169,10,33,23,96,59,89,82,68,30,Residential,3
450,17.27485,78.42222,24,483,177,8,20,27,30,96,88,63,86,16,Recreational,1
451,17.335729,78.48356,17,361,79,17,25,39,48,88,81,73,40,40,Recreational,1
452,17.276052,78.5285,36,137,241,24,43,12,98,64,83,73,74,59,Residential,3
453,17.507777,78.573918,45,428,418,35,31,66,68,51,79,65,55,37,Mixed,2
454,17.357328,78.417822,76,108,522,16,36,40,16,16,54,73,85,54,Industrial,4
455,17.262309,78.418818,61,59,624,10,29,31,15,10,71,80,59,10,Industrial,4
456,17.479839,78.541171,77,55,544,10,37,26,24,16,66,65,72,24,Industrial,4
457,17.507188,78.451427,84,118,816,11,25,35,15,11,55,53,68,35,Industrial,4
458,17.227615,78.333916,41,346,368,28,42,46,42,55,71,70,57,52,Mixed,2
459,17.319959,78.457118,20,402,59,11,16,23,50,96,72,49,90,56,Recreational,1
460,17.365243,78.279738,84,661,554,57,36,93,27,14,41,75,89,16,Commercial,0
461,17.258865,78.319191,15,502,123,13,19,35,40,100,77,80,84,33,Recreational,1
462,17.485878,78.296088,93,828,712,31,28,83,26,5,89,87,69,49,Commercial,0
463,17.280506,78.556095,42,256,173,22,46,27,89,55,59,76,84,27,Residential,3
464,17.54905,78.234844,70,381,246,30,31,48,52,44,66,54,67,46,Mixed,2
465,17.319693,78.372343,44,253,191,26,47,30,82,41,72,81,58,26,Residential,3
466,17.522039,78.538016,70,98,554,19,27,27,29,8,46,85,85,45,Industrial,4
467,17.392118,78.464682,86,624,665,51,35,95,17,17,78,67,45,25,Commercial,0
468,17.445261,78.522241,85,139,833,16,25,32,29,19,42,43,65,20,Industrial,4
469,17.200377,78.215706,81,817,443,30,32,93,11,16,65,60,67,57,Commercial,0
470,17.4925,78.507899,92,678,604,52,36,95,11,8,59,85,42,64,Commercial,0
471,17.536843,78.445653,28,571,132,6,26,33,35,92,75,61,57,21,Recreational,1
472,17.539019,78.272727,58,320,247,38,25,59,66,50,82,76,87,16,Mixed,2
473,17.216599,78.328827,85,118,522,14,29,28,24,7,68,45,56,35,Industrial,4
474,17.303562,78.221131,65,121,605,17,27,33,23,14,51,77,83,64,Industrial,4
475,17.446878,78.587928,36,244,214,10,41,16,83,49,52,73,81,30,Residential,3
476,17.411463,78.333777,58,379,211,36,29,41,45,37,50,51,48,11,Mixed,2
477,17.499981,78.522047,43,259,411,35,27,43,68,39,51,53,87,63,Mixed,2
478,17.540885,78.216374,32,466,69,12,21,28,30,85,77,83,61,53,Recreational,1
479,17.393399,78.37166,88,841,693,53,38,89,17,9,45,60,96,48,Commercial,0
480,17.214584,78.221098,34,597,76,14,28,39,39,89,65,64,50,32,Recreational,1
481,17.379631,78.431045,70,313,431,20,40,41,57,44,72,76,73,29,Mixed,2
482,17.546028,78.440317,33,187,171,21,50,19,99,56,50,41,97,35,Residential,3
483,17.394254,78.56512,73,641,609,34,38,95,10,16,63,73,92,66,Commercial,0
484,17.585474,78.350794,65,431,212,38,22,65,47,56,51,41,50,53,Mixed,2
485,17.459473,78.5597,16,426,184,14,26,35,37,88,71,54,76,22,Recreational,1
486,17.320387,78.273618,48,430,377,34,29,63,70,36,79,67,71,44,Mixed,2
487,17.593862,78.283639,45,314,210,31,24,62,68,50,87,84,84,58,Mixed,2
488,17.352853,78.320724,75,143,688,24,28,27,25,19,81,64,83,21,Industrial,4
489,17.576534,78.470647,97,608,411,34,39,82,14,6,85,73,52,48,Commercial,0
490,17.294235,78.324123,69,87,823,14,25,26,18,12,76,49,82,66,Industrial,4
491,17.362059,78.295606,58,431,209,31,41,43,70,47,55,79,75,34,Mixed,2
492,17.395691,78.253338,42,258,260,37,30,42,69,60,73,80,53,13,Mixed,2
493,17.247295,78.581578,34,127,179,21,49,14,81,49,40,78,71,35,Residential,3
494,17.202941,78.476688,73,91,745,16,41,25,13,5,48,43,46,32,Industrial,4
495,17.35442,78.586682,70,147,715,10,40,34,22,19,66,43,55,39,Industrial,4
496,17.288285,78.263379,91,713,641,52,36,91,30,12,43,70,83,40,Commercial,0
497,17.277071,78.251628,29,450,65,9,29,36,47,84,52,58,69,54,Recreational,1
498,17.59525,78.394092,34,318,158,16,21,31,50,83,73,41,44,64,Recreational,1
499,17.506347,78.231685,46,259,327,38,40,47,40,57,88,78,53,30,Mixed,2
500,17.244774,78.443802,74,657,584,59,39,87,15,15,58,75,89,42,Commercial,0
501,17.584823,78.403584,50,541,307,29,25,64,40,36,66,60,67,25,Mixed,2
502,17.599517,78.221987,20,481,74,16,19,40,47,94,45,68,58,42,Recreational,1
503,17.234787,78.321288,42,482,239,22,44,70,52,35,84,59,91,53,Mixed,2
504,17.415016,78.205679,80,126,586,18,41,21,28,7,46,81,81,68,Industrial,4
505,17.238792,78.222283,50,161,199,28,46,14,86,57,46,56,78,45,Residential,3
506,17.596114,78.444537,74,757,603,33,28,83,28,12,53,44,57,51,Commercial,0
507,17.334337,78.405547,99,943,602,32,36,80,24,20,48,54,67,33,Commercial,0
508,17.405145,78.537919,78,125,647,10,41,32,10,14,86,71,78,69,Industrial,4
509,17.23698,78.38316,87,67,666,10,42,31,17,10,70,73,46,45,Industrial,4
510,17.586649,78.377376,96,800,599,48,22,97,14,18,67,69,43,48,Commercial,0
511,17.498919,78.219166,16,534,199,19,30,39,35,83,54,63,64,10,Recreational,1
512,17.593336,78.296641,24,207,141,15,41,16,97,41,49,54,69,53,Residential,3
513,17.525917,78.366957,100,851,518,31,25,97,15,17,73,83,54,23,Commercial,0
514,17.41792,78.250257,62,135,841,19,43,22,21,17,87,56,46,22,Industrial,4
515,17.548634,78.367338,89,733,610,34,29,88,22,7,60,63,77,13,Commercial,0
516,17.457794,78.273146,19,467,103,7,26,27,42,83,85,53,52,36,Recreational,1
517,17.377674,78.254821,72,936,657,54,32,99,11,8,67,82,98,35,Commercial,0
518,17.427593,78.412592,62,109,895,17,29,39,16,11,52,80,96,62,Industrial,4
519,17.269663,78.418752,20,156,139,25,42,12,82,63,44,65,50,16,Residential,3
520,17.329124,78.303243,16,366,80,15,27,26,42,81,45,80,71,29,Recreational,1
521,17.32072,78.559897,81,798,438,46,32,90,15,17,62,66,85,15,Commercial,0
522,17.300723,78.529499,29,551,162,17,22,24,46,99,72,61,89,56,Recreational,1
523,17.241725,78.258206,44,492,337,34,29,66,55,41,57,62,72,25,Mixed,2
524,17.559765,78.253414,16,468,108,9,21,32,49,92,66,65,46,51,Recreational,1
525,17.515638,78.441157,62,475,252,34,35,70,58,38,68,78,43,12,Mixed,2
526,17.236711,78.472381,60,107,702,20,25,40,16,19,77,85,41,36,Industrial,4
527,17.530556,78.4806,60,112,598,12,31,20,20,10,59,42,90,11,Industrial,4
528,17.589027,78.344024,24,108,101,11,35,19,97,51,75,60,88,56,Residential,3
529,17.439073,78.547878,24,288,189,15,41,17,84,69,54,55,40,25,Residential,3
530,17.340772,78.37846,63,457,434,21,41,66,45,55,77,85,64,20,Mixed,2
531,17.473515,78.501248,47,497,475,27,33,70,57,54,68,87,48,24,Mixed,2
532,17.527798,78.330696,34,336,135,11,23,27,45,85,67,87,77,40,Recreational,1
533,17.470092,78.282353,94,690,615,42,38,96,20,16,67,47,62,38,Commercial,0
534,17.33732,78.331428,23,582,107,18,16,28,50,80,62,49,81,61,Recreational,1
535,17.314454,78.456179,65,302,265,37,42,41,51,51,76,59,78,33,Mixed,2
536,17.448491,78.219232,96,984,516,49,32,88,24,7,85,50,63,31,Commercial,0
537,17.473372,78.437474,40,273,234,23,35,47,55,56,56,54,55,24,Mixed,2
538,17.341819,78.425838,38,167,142,14,32,22,89,50,57,73,78,50,Residential,3
539,17.289235,78.418267,66,52,703,16,41,20,14,20,54,41,80,16,Industrial,4
540,17.257547,78.241864,43,537,227,32,20,67,63,32,87,69,93,45,Mixed,2
541,17.569493,78.528589,38,164,168,28,51,20,92,59,76,75,75,13,Residential,3
542,17.268879,78.372393,35,268,245,11,50,13,91,46,86,78,68,63,Residential,3
543,17.474671,78.297446,33,372,98,9,16,39,45,93,53,72,74,67,Recreational,1
544,17.375106,78.324148,16,542,90,7,19,37,45,83,51,68,46,23,Recreational,1
545,17.389631,78.550274,95,705,431,39,30,96,14,17,81,48,88,42,Commercial,0
546,17.383098,78.238224,98,980,513,43,34,85,19,17,54,68,43,27,Commercial,0
547,17.59974,78.284573,73,52,613,23,34,25,22,14,57,59,97,57,Industrial,4
548,17.585741,78.265492,28,391,101,9,22,31,31,91,44,44,70,54,Recreational,1
549,17.56244,78.255094,89,125,528,12,33,21,12,18,43,64,90,22,Industrial,4
550,17.378355,78.483433,71,845,696,41,31,94,11,20,57,52,85,14,Commercial,0
551,17.372827,78.518556,90,138,661,14,31,25,12,17,42,65,96,33,Industrial,4
552,17.310858,78.379871,36,141,110,16,31,27,100,43,79,85,83,31,Residential,3
553,17.337351,78.20764,90,79,763,11,39,28,28,8,79,64,58,14,Industrial,4
554,17.551191,78.307676,82,76,539,19,43,37,19,17,78,80,72,28,Industrial,4
555,17.211668,78.416495,31,171,232,19,50,14,96,65,44,61,54,22,Residential,3
556,17.426341,78.566702,80,617,641,50,35,92,16,5,65,87,40,58,Commercial,0
557,17.38528,78.394731,25,205,245,18,37,19,96,62,68,45,53,31,Residential,3
558,17.272653,78.320958,17,577,100,11,30,26,37,97,64,52,60,50,Recreational,1
559,17.233685,78.59383,84,651,785,54,32,81,28,14,73,74,77,12,Commercial,0
560,17.39185,78.589138,88,922,609,36,28,99,21,9,42,50,96,39,Commercial,0
561,17.493045,78.47389,32,311,126,13,16,24,42,95,87,63,74,31,Recreational,1
562,17.599191,78.543256,42,392,241,28,30,55,49,46,71,41,63,32,Mixed,2
563,17.507893,78.524374,48,294,177,25,30,30,82,61,65,57,48,47,Residential,3
564,17.516524,78.280365,66,447,243,23,32,56,70,56,79,42,51,48,Mixed,2
565,17.45806,78.206788,48,334,466,24,22,66,56,31,63,70,72,48,Mixed,2
566,17.561276,78.485483,25,429,154,15,17,21,36,84,60,44,91,54,Recreational,1
567,17.543976,78.285214,45,397,224,21,44,65,45,38,42,72,40,60,Mixed,2
568,17.573768,78.282614,94,970,690,41,24,81,16,17,86,42,99,62,Commercial,0
569,17.585238,78.567018,77,815,611,57,35,97,29,16,52,84,81,48,Commercial,0
570,17.50526,78.5209,23,477,126,16,32,34,33,96,44,61,55,50,Recreational,1
571,17.242319,78.402456,26,103,189,14,52,25,82,65,57,68,62,62,Residential,3
572,17.397193,78.388761,90,1000,678,54,30,96,23,17,59,69,58,62,Commercial,0
573,17.242728,78.295538,76,617,472,30,36,98,15,7,76,73,59,34,Commercial,0
574,17.378921,78.586207,50,467,452,36,35,46,55,32,55,79,51,44,Mixed,2
575,17.510346,78.335493,30,572,81,13,20,39,31,88,67,77,42,29,Recreational,1
576,17.371554,78.275594,74,797,700,31,34,94,22,14,53,46,85,67,Commercial,0
577,17.350504,78.569314,49,473,472,33,27,43,65,45,63,84,93,36,Mixed,2
578,17.245458,78.201567,33,245,136,18,32,17,99,61,81,61,58,39,Residential,3
579,17.552062,78.277999,90,98,599,23,43,31,24,19,82,76,76,24,Industrial,4
580,17.24336,78.550373,16,383,64,8,18,37,35,98,50,67,95,11,Recreational,1
581,17.489915,78.402141,57,299,317,29,22,48,42,40,83,51,42,62,Mixed,2
582,17.32047,78.299591,66,74,520,19,35,34,28,20,61,60,99,61,Industrial,4
583,17.311736,78.347756,44,509,208,38,22,44,60,55,57,72,47,60,Mixed,2
584,17.399643,78.244057,25,166,239,13,41,22,81,41,54,62,68,26,Residential,3
585,17.262341,78.297377,31,561,76,6,19,25,31,87,86,54,50,31,Recreational,1
586,17.334885,78.360904,26,455,173,11,16,30,39,82,68,81,67,68,Recreational,1
587,17.206124,78.512229,41,152,231,13,34,10,96,41,69,47,78,56,Residential,3
588,17.356095,78.431426,21,489,152,16,28,40,47,85,43,81,57,53,Recreational,1
589,17.466332,78.286205,19,522,160,14,34,38,45,90,79,42,62,16,Recreational,1
590,17.488045,78.234454,29,246,157,18,45,28,97,48,87,84,81,34,Residential,3
591,17.534517,78.286185,66,128,835,20,32,29,13,7,58,67,60,68,Industrial,4
592,17.545423,78.336379,38,129,121,12,34,18,97,50,87,41,51,63,Residential,3
593,17.442717,78.539788,16,500,160,6,15,29,31,91,47,76,93,69,Recreational,1
594,17.586636,78.380886,58,404,456,30,39,40,69,37,71,44,56,17,Mixed,2
595,17.48128,78.20868,77,120,809,13,42,22,23,12,73,85,61,20,Industrial,4
596,17.409702,78.468291,76,95,537,17,29,27,11,20,54,83,56,42,Industrial,4
597,17.403804,78.4183,48,538,312,32,40,65,60,34,49,45,95,60,Mixed,2
598,17.294994,78.591568,84,901,791,39,28,96,18,7,50,51,49,34,Commercial,0
599,17.522306,78.530099,21,352,105,12,15,23,41,82,52,70,77,52,Recreational,1
600,17.416221,78.383282,50,474,257,26,31,46,66,52,78,81,87,35,Mixed,2
601,17.342708,78.265708,52,541,351,31,36,41,52,60,68,89,67,69,Mixed,2
602,17.496523,78.531044,89,769,539,34,28,87,25,18,66,64,52,64,Commercial,0
603,17.422901,78.497054,30,153,232,22,40,28,82,54,78,46,77,41,Residential,3
604,17.377458,78.567499,62,335,251,20,33,56,49,41,87,85,66,57,Mixed,2
605,17.404835,78.576276,56,313,322,37,39,55,56,45,58,47,77,47,Mixed,2
606,17.4941,78.518935,50,143,175,26,44,18,86,49,87,51,71,34,Residential,3
607,17.397159,78.27235,31,270,215,12,31,15,84,57,55,47,64,41,Residential,3
608,17.307545,78.208415,69,105,620,21,30,39,14,11,48,68,55,63,Industrial,4
609,17.420675,78.536438,79,100,833,16,29,37,11,15,79,72,70,68,Industrial,4
610,17.306091,78.474436,36,161,122,23,53,16,82,66,77,59,73,58,Residential,3
611,17.529559,78.459008,96,993,754,49,37,92,21,15,88,75,62,41,Commercial,0
612,17.436997,78.392997,68,111,674,11,28,24,26,12,79,51,60,49,Industrial,4
613,17.441517,78.31957,78,96,761,17,40,37,29,20,82,78,88,58,Industrial,4
614,17.593355,78.536443,86,763,676,34,39,86,19,5,68,69,46,42,Commercial,0
615,17.538204,78.519633,81,634,627,57,32,98,19,9,78,63,55,42,Commercial,0
616,17.226664,78.599424,69,280,214,30,21,46,43,40,68,41,55,48,Mixed,2
617,17.570115,78.547187,33,401,185,17,19,21,38,90,63,45,65,16,Recreational,1
618,17.234446,78.423655,88,115,774,13,30,36,14,17,67,69,46,18,Industrial,4
619,17.303482,78.210358,65,67,509,21,35,20,10,17,76,59,40,61,Industrial,4
620,17.470589,78.275973,76,104,865,22,28,24,30,5,61,64,41,64,Industrial,4
621,17.482721,78.568015,35,504,167,9,21,39,30,93,75,56,60,55,Recreational,1
622,17.314795,78.299955,22,574,146,6,29,29,47,93,88,66,52,42,Recreational,1
623,17.568303,78.432636,83,751,722,44,38,96,12,20,53,51,67,53,Commercial,0
624,17.512773,78.278144,90,656,742,49,30,81,19,14,82,45,75,33,Commercial,0
625,17.490187,78.245292,85,86,633,10,30,37,18,12,64,54,65,17,Industrial,4
626,17.422348,78.479811,45,495,426,29,20,67,53,33,51,77,50,21,Mixed,2
627,17.302349,78.362831,63,101,786,10,37,37,18,14,63,48,70,64,Industrial,4
628,17.474285,78.543592,25,114,102,20,35,12,90,54,84,67,49,47,Residential,3
629,17.253991,78.318471,37,215,204,11,37,29,81,50,65,46,77,39,Residential,3
630,17.517077,78.311658,43,100,229,29,52,30,83,70,51,61,59,27,Residential,3
631,17.293275,78.545761,19,502,73,16,27,35,42,81,55,77,85,10,Recreational,1
632,17.470815,78.521285,88,86,836,19,31,29,20,7,49,81,53,21,Industrial,4
633,17.540504,78.519394,45,214,228,19,31,26,86,46,66,48,61,43,Residential,3
634,17.261585,78.482143,35,467,94,8,23,28,47,91,81,82,78,18,Recreational,1
635,17.389641,78.201642,55,286,410,24,36,65,61,59,47,72,41,39,Mixed,2
636,17.505701,78.51599,84,123,631,14,28,32,22,6,63,41,87,42,Industrial,4
637,17.407327,78.434939,84,59,820,19,33,34,24,7,44,80,97,31,Industrial,4
638,17.417612,78.423918,23,461,58,16,31,20,48,85,76,70,73,50,Recreational,1
639,17.522711,78.262767,18,544,128,12,18,35,50,83,55,61,51,25,Recreational,1
640,17.309765,78.360012,68,376,209,29,26,57,40,36,60,40,54,13,Mixed,2
641,17.326765,78.386955,71,979,509,45,20,81,16,17,49,59,40,22,Commercial,0
642,17.451146,78.346091,97,822,422,45,32,90,26,5,73,52,53,20,Commercial,0
643,17.220829,78.205129,66,536,280,34,28,49,47,50,52,89,44,15,Mixed,2
644,17.572852,78.508092,30,429,86,5,18,23,32,88,61,62,51,19,Recreational,1
